instructions,outputs
어디가 아파서 왔어요?,"배가 아파요, 선생님"
어디가 아파요?,열이 나는 것 같아요ㅠㅠ
왜 왔어요? 어디가 아파요?,기침을 계속 해요
어디가 아파서 왔어요?,목이 아파요ㅠㅠ 진료해주세요
배가 어디가 아파요?,"여기, 배꼽 위에가 아파요"
배가 얼마나 아파요?,으악 ㅠㅠ 못 참을 정도로 너무 아파요
언제부터 배가 아팠어요?,어제 저녁부터요
열 한 번 재 볼게요! 안아프게 해 줄게요,네 선생님만 믿어요
기침을 언제부터 했어요?,음.. 2일 전부터 기침하기 시작했어요
입 벌리고 아~ 해봐요,아아~~
청진기로 진료해 줄게요,네 선생님!
옷을 조금만 올려보세요~ 청진기 대볼께요~,네 선생님!
목이 언제부터 아팠어요?,오늘 아침부터 아프기 시작했어요ㅠㅠ
목이 얼마나 아파요?,침 삼키기 힘들 정도로 아파요
약 만들어줄게요! 다 먹으면 나을거에요,네! 감사합니다 선생님! 
자! 이거 약 먹어요!,움냠냠냠  오! 다 나은 것 같아요 선생님!
음 환자분 열이 많이 나네요?,네 선생님ㅠ 약 지어주세요
"안녕하세요, 무엇을 도와줄까요?",어제부터 머리가 너무 아파서 왔어요
주사 놔 줄게요 그럼 나을 거에요,"아프지 않게 주사 놓아주세요, 선생님 ㅠ"
주사 맞춰줄게요,"아프지 않게 살살 해주세요, 선생님!"
여기 약 만들었어요.,감사합니다 선생님! 약 잘 챙겨 먹을게요
또 어디가 아파요?,이제 괜찮은 것 같아요! 선생님 덕분이에요~!!
약 먹고도 아프면 또 찾아오세요,네 선생님!
또 다른 증상은 없었나요?,콧물도 나는 것 같아요
목이 어떻게 아파요?,따끔거리고 말할 때마다 아파요
약 처방해 줄게요. 알약 먹을 수 있나요?,아뇨. 알약 못 먹어요
어디가 아파요?,코가 막히고 기침을 너무 많이 해요
약 처방해 줄게요. 알약 먹을 수 있나요?,"네, 먹을 수 있어요"
네 그럼 물약으로 줄게요,"네 감사합니다, 선생님"
아~~ 해보세요,아~
목이 부은 것 같네요. ,"네, 약 처방해 주세요."
여기가 아파요?,어디를 말하는지 모르겠어요. 
약 먹으면 금방 나을 거에요,"감사합니다, 잘 챙겨 먹겠습니다!"
